Player,Chance 1,Chance 2,Chance 3,Chance 4,Chance 5,Chance 6,Chance 7,Chance 8,Chance 9,Chance 10,Chance 11,Chance 12,Chance 13,Chance 14,Chance 15,Chance 16,Chance 17,Chance 18,Chance 19,Chance 20,Chance 21,Chance 22,Chance 23,Chance 24,Chance 25,Chance 26,Chance 27,Chance 28,Chance 29,Chance 30,Chance 31
B1,2,2,3,4,4,2,1,3,3,5,6,6,6,6,5,7,8,10,8,13,17,18,17,21,28,33,36,40,43,47,48
W1,2,5,6,7,9,13,16,16,18,18,19,21,23,25,28,28,29,29,33,30,28,29,32,30,25,22,20,17,16,14,16
W2,2,3,4,5,7,9,13,15,15,16,19,20,21,24,26,28,28,31,33,35,37,40,41,43,48,49,50,49,45,45,47
B2,2,3,4,5,5,5,3,3,5,6,5,6,7,6,6,6,8,7,7,7,7,6,7,7,4,5,6,9,15,17,17
B3,2,3,3,3,3,3,2,4,4,5,7,6,7,11,13,16,18,17,18,16,19,19,18,18,17,17,21,25,31,37,40
W3,2,3,5,7,9,11,14,14,16,17,17,20,21,19,19,18,18,21,22,26,25,27,30,32,35,37,35,33,29,25,28
